invoice_id,title,vendor_name,department,category,amount,invoice_date,fraud_label,content
44e6e272-8dfb-439b-bc8a-3a65896261d6,44e6e272-8dfb-439b-bc8a-3a65896261d6 — Taylor-White 7315.83 USD,Taylor-White,Finance,Equipment,7315.83,2026-06-06,0,"Invoice 44e6e272-8dfb-439b-bc8a-3a65896261d6 from vendor Taylor-White (vendor_id 282ee935-f62d-4e81-a4ad-33251ee62e18). Vendor country Kyrgyz Republic, risk score 0.11. Department Finance, category Equipment. Amount 7315.83 USD via Corporate Card on 2026-06-06 at 18:00, approved by Kendra Contreras. Notes: Federal professional voice care break blood network. Applicable policy P4: * payments capped at $100,000. Any single payment above 100000 requires CFO approval. No fraud signals detected on this invoice."
0e081744-7a66-412f-918a-9ee2d561c12f,0e081744-7a66-412f-918a-9ee2d561c12f — Galloway-Wyatt 693.1 USD,Galloway-Wyatt,Operations,Software,693.1,2026-01-26,0,"Invoice 0e081744-7a66-412f-918a-9ee2d561c12f from vendor Galloway-Wyatt (vendor_id d78e7543-d307-4e2f-a856-0ebb892c264e). Vendor country Tonga, risk score 0.3. Department Operations, category Software. Amount 693.1 USD via Corporate Card on 2026-01-26 at 16:00, approved by Michelle Harris. Notes: Measure economy traditional anything plant. Applicable policy P4: * payments capped at $100,000. Any single payment above 100000 requires CFO approval. No fraud signals detected on this invoice."
6f288251-5d58-423b-a6b6-eca64372c6aa,6f288251-5d58-423b-a6b6-eca64372c6aa — Davis-Abbott 18257.47 USD,Davis-Abbott,Finance,Travel,18257.47,2026-05-08,0,"Invoice 6f288251-5d58-423b-a6b6-eca64372c6aa from vendor Davis-Abbott (vendor_id 7cb55000-a09b-41f7-81fc-9a96003dbc23). Vendor country Netherlands, risk score 0.29. Department Finance, category Travel. Amount 18257.47 USD via Wire on 2026-05-08 at 10:00, approved by Gavin Anderson. Notes: Claim kind relationship night born. Applicable policy P1: Travel payments capped at $5,000. Travel expenses above 5000 require VP approval. No fraud signals detected on this invoice."
a8398846-2d17-4fe9-b376-e8918428ca17,"a8398846-2d17-4fe9-b376-e8918428ca17 — Stanley, Tucker and Lee 236528.74 USD","Stanley, Tucker and Lee",Marketing,Consulting,236528.74,2026-05-29,1,"Invoice a8398846-2d17-4fe9-b376-e8918428ca17 from vendor Stanley, Tucker and Lee (vendor_id 12d06bea-47bc-43fc-8ee8-a8c7ed0d8792). Vendor country Cuba, risk score 0.06. Department Marketing, category Consulting. Amount 236528.74 USD via Corporate Card on 2026-05-29 at 15:00, approved by Brittany Johnson. Notes: Old challenge camera final together someone. Applicable policy P2: Consulting payments capped at $50,000. Consulting invoices above 50000 require dual sign-off. Fraud signals: policy limit violation."
bdbdabca-bcd2-44ef-85ac-5e681112ed38,bdbdabca-bcd2-44ef-85ac-5e681112ed38 — Wilson-Zamora 14747.41 USD,Wilson-Zamora,Sales,Equipment,14747.41,2026-05-14,0,"Invoice bdbdabca-bcd2-44ef-85ac-5e681112ed38 from vendor Wilson-Zamora (vendor_id 13bdfae1-aeca-4368-b49f-333ac4ffcfa3). Vendor country Egypt, risk score 0.14. Department Sales, category Equipment. Amount 14747.41 USD via Wire on 2026-05-14 at 17:00, approved by Christine Wright. Notes: Government nice themselves wind. Applicable policy P4: * payments capped at $100,000. Any single payment above 100000 requires CFO approval. No fraud signals detected on this invoice."
66791bf5-02a2-4628-bc70-a68b1f03c8a9,66791bf5-02a2-4628-bc70-a68b1f03c8a9 — Anderson Group 58690.08 USD,Anderson Group,IT,Consulting,58690.08,2026-04-24,0,"Invoice 66791bf5-02a2-4628-bc70-a68b1f03c8a9 from vendor Anderson Group (vendor_id 0b6194a7-6d35-4f80-a251-9f6475f8730a). Vendor country Yemen, risk score 0.08. Department IT, category Consulting. Amount 58690.08 USD via Wire on 2026-04-24 at 10:00, approved by Cynthia Martin. Notes: Thing agent say forward. Applicable policy P2: Consulting payments capped at $50,000. Consulting invoices above 50000 require dual sign-off. No fraud signals detected on this invoice."
67536a6b-68f6-4aac-b822-151a2ec12ee4,67536a6b-68f6-4aac-b822-151a2ec12ee4 — Galloway-Wyatt 31896.59 USD,Galloway-Wyatt,Sales,Software,31896.59,2026-05-27,0,"Invoice 67536a6b-68f6-4aac-b822-151a2ec12ee4 from vendor Galloway-Wyatt (vendor_id d78e7543-d307-4e2f-a856-0ebb892c264e). Vendor country Tonga, risk score 0.3. Department Sales, category Software. Amount 31896.59 USD via Cheque on 2026-05-27 at 11:00, approved by Sharon Cochran. Notes: City red him although likely. Applicable policy P4: * payments capped at $100,000. Any single payment above 100000 requires CFO approval. No fraud signals detected on this invoice."
f66090d6-a19e-4b3f-8324-1f889ddf6447,f66090d6-a19e-4b3f-8324-1f889ddf6447 — Ramos PLC 42920.46 USD,Ramos PLC,HR,Travel,42920.46,2026-01-13,0,"Invoice f66090d6-a19e-4b3f-8324-1f889ddf6447 from vendor Ramos PLC (vendor_id f6d89681-ac67-48a2-9b07-48b7dd1d30c2). Vendor country Bolivia, risk score 0.37. Department HR, category Travel. Amount 42920.46 USD via Cheque on 2026-01-13 at 18:00, approved by Hannah Hoover. Notes: Development process huge everything attorney. Applicable policy P1: Travel payments capped at $5,000. Travel expenses above 5000 require VP approval. No fraud signals detected on this invoice."
aa459332-5e45-456a-9a7f-a7572237d351,"aa459332-5e45-456a-9a7f-a7572237d351 — Vaughn, Marquez and Ross 7699.75 USD","Vaughn, Marquez and Ross",Operations,Services,7699.75,2026-04-28,1,"Invoice aa459332-5e45-456a-9a7f-a7572237d351 from vendor Vaughn, Marquez and Ross (vendor_id 80edbb2e-3c0c-4dc5-88fb-ced4b9a815da). Vendor country Paraguay, risk score 0.94, flagged as a GHOST VENDOR. Department Operations, category Services. Amount 7699.75 USD via Wire on 2026-04-28 at 09:00, approved by Jordan Frazier. Notes: Former agree theory end oil worker although. Applicable policy P4: * payments capped at $100,000. Any single payment above 100000 requires CFO approval. Fraud signals: payment to ghost vendor."
a25bf202-654b-47f2-b954-954f5b3c39c0,a25bf202-654b-47f2-b954-954f5b3c39c0 — Ford LLC 72806.06 USD,Ford LLC,Marketing,Consulting,72806.06,2026-03-27,1,"Invoice a25bf202-654b-47f2-b954-954f5b3c39c0 from vendor Ford LLC (vendor_id 743bbd82-140d-417a-8fad-9f970ce6938e). Vendor country Uzbekistan, risk score 0.04. Department Marketing, category Consulting. Amount 72806.06 USD via ACH on 2026-03-27 at 02:00, approved by Richard Graham. Notes: Break tonight couple and job mind southern. Applicable policy P2: Consulting payments capped at $50,000. Consulting invoices above 50000 require dual sign-off. Fraud signals: policy limit violation, off-hours payment."
